_id,source_name,converted_url,url,status,_class
6501eee14857332aa0b7708e,Ebay-CATop100ICProj6312,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=electricguitarparts&store_cat=0&store_name=ultimatemusicdirect&_oac=1,https://www.ebay.ca/usr/electricguitarparts,SUCCESS,com.milky.trackerWeb.model.Competitor
6501eef74857332aa0b7708f,Ebay-CATop100ICProj7640,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=bigtreesales&store_name=bigtreesales&_oac=1,https://www.ebay.ca/usr/bigtreesales,SUCCESS,com.milky.trackerWeb.model.Competitor
6501eefa4857332aa0b77090,Ebay-CATop100ICProj6310,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=echotonemusic&store_name=echotonemusic&_oac=1,https://www.ebay.ca/usr/echotonemusic,SUCCESS,com.milky.trackerWeb.model.Competitor
6501eefc4857332aa0b77091,Ebay-CATop100ICProj7641,https://www.ebay.ca/sch/bike_liquidators_online/m.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=bike_liquidators_online&_oac=1,https://www.ebay.ca/usr/bike_liquidators_online,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef094857332aa0b77092,Ebay-CATop100ICProj8922,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=princecringer&store_cat=0&store_name=bigbangtoyscomicsgames&_oac=1,https://www.ebay.ca/usr/princecringer,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef1d4857332aa0b77093,Ebay-CATop100ICProj8927,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=r5gaming&store_cat=0&store_name=r5gaming&_oac=1,https://www.ebay.ca/usr/r5gaming,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef1f4857332aa0b77094,Ebay-CATop100ICProj8926,https://www.ebay.ca/sch/puzzles-etc/m.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=puzzles-etc&_oac=1,https://www.ebay.ca/usr/puzzles-etc,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef234857332aa0b77095,Ebay-CATop100ICProj8925,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=puzzles_and_toys&store_cat=0&store_name=duncansretaillimited&_oac=1,https://www.ebay.ca/usr/puzzles_and_toys,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef2e4857332aa0b77096,Ebay-CATop100ICProj8929,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=radicooluk&store_cat=0&store_name=radicooluk&_oac=1,https://www.ebay.ca/usr/radicooluk,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef354857332aa0b77097,Ebay-CATop100ICProj0196,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=la_6843&store_name=alexharleyparts&_oac=1,https://www.ebay.ca/usr/la_6843,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef394857332aa0b77098,Ebay-CATop100ICProj8912,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=playsmart_hobbies&store_cat=0&store_name=playsmarthobbies&_oac=1,https://www.ebay.ca/usr/playsmart_hobbies,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef444857332aa0b77099,Ebay-CATop100ICProj8911,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=playingcardsmagiccom&store_cat=0&store_name=redsilkmagic&_oac=1,https://www.ebay.ca/usr/playingcardsmagiccom,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef474857332aa0b7709a,Ebay-CATop100ICProj0194,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=sharksolutionsca&store_cat=0&store_name=sharksolutionsca&_oac=1,https://www.ebay.ca/usr/sharksolutionsca,SUCCESS,com.milky.trackerWeb.model.Competitor
6501ef534857332aa0b7709b,Ebay-CATop100ICProj0192,https://www.ebay.ca/sch/i.html?_dkr=1&iconV2Request=true&_blrs=recall_filtering&_ssn=medinaexplorer&store_name=angelasgooddealsandfinds&_oac=1,https://www.ebay.ca/usr/medinaexplorer,SUCCESS,com.milky.trackerWeb.model.Competitor
